[CRON] 2026-03-20T08:52:45.245Z – Indításkori frissítés szükséges – elindul...
[CRON] 2026-03-20T08:52:56.951Z – Frissítés megkezdve...
[CRON] 2026-03-20T08:58:17.628Z – Indításkori frissítés szükséges – elindul...
[CRON] 2026-03-20T08:58:30.914Z – yt-dlp nincs telepítve. Telepítési link: https://github.com/yt-dlp/yt-dlp/releases
[CRON] 2026-03-20T09:08:33.849Z – Indításkori frissítés szükséges – elindul...
[CRON] 2026-03-20T09:08:46.639Z – Frissítés megkezdve...
[CRON] 2026-03-20T09:09:15.215Z – Indításkori frissítés szükséges – elindul...
[CRON] 2026-03-20T09:09:28.529Z – yt-dlp nincs telepítve. Telepítési link: https://github.com/yt-dlp/yt-dlp/releases
[CRON] 2026-03-20T09:22:52.488Z – Indításkori frissítés kihagyva – az adatok frissek.
[CRON] 2026-03-20T11:04:43.661Z – Indításkori frissítés kihagyva – az adatok frissek.
[CRON] 2026-03-20T11:24:41.270Z – Indításkori frissítés kihagyva – az adatok frissek.
[CRON] 2026-03-20T11:35:49.670Z – Indításkori frissítés kihagyva – az adatok frissek.
[CRON] 2026-03-20T13:09:33.559Z – Indításkori frissítés kihagyva – az adatok frissek.
[CRON] 2026-03-20T13:21:47.472Z – Indításkori frissítés kihagyva – az adatok frissek.
[CRON] 2026-03-20T14:21:53.728Z – Indításkori frissítés kihagyva – az adatok frissek.
[CRON] 2026-03-20T14:26:02.672Z – Indításkori frissítés kihagyva – az adatok frissek.
[CRON] 2026-03-20T14:30:37.683Z – Indításkori frissítés kihagyva – az adatok frissek.
[CRON] 2026-03-20T14:32:08.088Z – Indításkori frissítés kihagyva – az adatok frissek.
[CRON] 2026-03-20T15:43:31.351Z – Indításkori frissítés kihagyva – az adatok frissek.
[CRON] 2026-03-20T15:46:23.301Z – Indításkori frissítés kihagyva – az adatok frissek.
[CRON] 2026-03-20T15:58:59.408Z – Indításkori frissítés kihagyva – az adatok frissek.
[CRON] 2026-03-20T16:32:36.913Z – Indításkori frissítés kihagyva – az adatok frissek.
